category,type,subcategory,url
Lingerie,Maternity & Nursing Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/maternity-and-nursing-bras/
Lingerie,Memory Foam,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/memory-foam/
Lingerie,Minimiser Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/minimiser-bras/
Lingerie,Balcony Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/balcony-bras/
Lingerie,Plunge Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/plunge-bras/
Lingerie,Bralets,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/bralets/
Lingerie,Padded Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/padded-bras/
Lingerie,Non-wired Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/non-wired-bras/
Lingerie,Full Cup Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/full-cup-bras/
Lingerie,Multipack Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/multipack-bras/
